model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
MLP,pooled,all,patient_pooled,brier,1.6268724325176326e-06,4.0,1.2189982227132923e-07,3.8490818733803965e-06
MLP,pooled,all,patient_pooled,log_loss,0.0009874824077249567,4.0,0.0002996045179249449,0.0018080147425074717
MLP,pooled,all,sample_pooled,roc_auc,1.0,4.0,1.0,1.0
MLP,pooled,all,sample_pooled,accuracy,1.0,4.0,1.0,1.0
MLP,pooled,all,sample_pooled,precision,1.0,4.0,0.0,1.0
MLP,pooled,all,sample_pooled,recall,1.0,4.0,0.0,1.0
MLP,pooled,all,sample_pooled,specificity,1.0,4.0,1.0,1.0
MLP,pooled,all,sample_pooled,f1,1.0,4.0,0.0,1.0
MLP,pooled,all,sample_pooled,brier,1.6268724325176326e-06,4.0,1.2189982227132923e-07,3.8490818733803965e-06
MLP,pooled,all,sample_pooled,log_loss,0.0009874824077249567,4.0,0.0002996045179249449,0.0018080147425074717
CNN,pooled,all,cell_pooled,roc_auc,0.9996293803201463,4.0,0.9988322938054759,0.9999812538794326
CNN,pooled,all,cell_pooled,accuracy,0.9917535161388242,4.0,0.9827538940809969,0.9984322179217089
CNN,pooled,all,cell_pooled,precision,0.986304445442299,4.0,0.0,1.0
CNN,pooled,all,cell_pooled,recall,0.9953551603036139,4.0,0.0,0.9984324263800246
CNN,pooled,all,cell_pooled,specificity,0.9888472438065636,4.0,0.9782650509713406,0.998432055749129
CNN,pooled,all,cell_pooled,f1,0.990809134479842,4.0,0.0,0.9984490003102
CNN,pooled,all,cell_pooled,brier,0.009565379344926838,4.0,0.0015163295368985264,0.018037487095275067
CNN,pooled,all,cell_pooled,log_loss,0.049410883712679196,4.0,0.007822936979529927,0.09215026553382756
CNN,pooled,all,patient_pooled,roc_auc,1.0,4.0,1.0,1.0
CNN,pooled,all,patient_pooled,accuracy,1.0,4.0,1.0,1.0
CNN,pooled,all,patient_pooled,precision,1.0,4.0,0.0,1.0
CNN,pooled,all,patient_pooled,recall,1.0,4.0,0.0,1.0
CNN,pooled,all,patient_pooled,specificity,1.0,4.0,1.0,1.0
CNN,pooled,all,patient_pooled,f1,1.0,4.0,0.0,1.0
CNN,pooled,all,patient_pooled,brier,0.003311683659442717,4.0,5.1876996454640774e-05,0.006756404440177802
CNN,pooled,all,patient_pooled,log_loss,0.04560873004024739,4.0,0.006661317766073454,0.0829249756581858
CNN,pooled,all,sample_pooled,roc_auc,1.0,4.0,1.0,1.0
CNN,pooled,all,sample_pooled,accuracy,1.0,4.0,1.0,1.0
CNN,pooled,all,sample_pooled,precision,1.0,4.0,0.0,1.0
CNN,pooled,all,sample_pooled,recall,1.0,4.0,0.0,1.0
CNN,pooled,all,sample_pooled,specificity,1.0,4.0,1.0,1.0
CNN,pooled,all,sample_pooled,f1,1.0,4.0,0.0,1.0
CNN,pooled,all,sample_pooled,brier,0.003311683659442717,4.0,5.1876996454640774e-05,0.006756404440177802
CNN,pooled,all,sample_pooled,log_loss,0.04560873004024739,4.0,0.006661317766073454,0.0829249756581858
BiLSTM,pooled,all,cell_pooled,roc_auc,0.997163024491471,4.0,0.9948365908381902,0.9995537101579076
BiLSTM,pooled,all,cell_pooled,accuracy,0.9794090863098249,4.0,0.9648048267666148,0.9975076469921831
BiLSTM,pooled,all,cell_pooled,precision,0.9581066376496191,4.0,0.0,1.0
BiLSTM,pooled,all,cell_pooled,recall,0.9975076469921831,4.0,0.0,0.9977606091143209
BiLSTM,pooled,all,cell_pooled,specificity,0.9648048267666148,4.0,0.9630698211194461,0.966376306620209
BiLSTM,pooled,all,cell_pooled,f1,0.9774102236776377,4.0,0.0,0.9987522686025408
BiLSTM,pooled,all,cell_pooled,brier,0.016930073891600495,4.0,0.0025399804836985875,0.028541862401660848
BiLSTM,pooled,all,cell_pooled,log_loss,0.07140889908055784,4.0,0.01404115647853291,0.12233957284770954
BiLSTM,pooled,all,patient_pooled,roc_auc,1.0,4.0,1.0,1.0
BiLSTM,pooled,all,patient_pooled,accuracy,1.0,4.0,1.0,1.0
BiLSTM,pooled,all,patient_pooled,precision,1.0,4.0,0.0,1.0
BiLSTM,pooled,all,patient_pooled,recall,1.0,4.0,0.0,1.0
BiLSTM,pooled,all,patient_pooled,specificity,1.0,4.0,1.0,1.0
BiLSTM,pooled,all,patient_pooled,f1,1.0,4.0,0.0,1.0
BiLSTM,pooled,all,patient_pooled,brier,0.001212445209488931,4.0,0.00014296684276979808,0.002281923576208064
BiLSTM,pooled,all,patient_pooled,log_loss,0.030331237696207648,4.0,0.011846985347351319,0.048815490045063976
BiLSTM,pooled,all,sample_pooled,roc_auc,1.0,4.0,1.0,1.0
BiLSTM,pooled,all,sample_pooled,accuracy,1.0,4.0,1.0,1.0
BiLSTM,pooled,all,sample_pooled,precision,1.0,4.0,0.0,1.0
BiLSTM,pooled,all,sample_pooled,recall,1.0,4.0,0.0,1.0
BiLSTM,pooled,all,sample_pooled,specificity,1.0,4.0,1.0,1.0
BiLSTM,pooled,all,sample_pooled,f1,1.0,4.0,0.0,1.0
BiLSTM,pooled,all,sample_pooled,brier,0.001212445209488931,4.0,0.00014296684276979808,0.002281923576208064
BiLSTM,pooled,all,sample_pooled,log_loss,0.030331237696207648,4.0,0.011846985347351319,0.048815490045063976
Transformer,pooled,all,cell_pooled,roc_auc,0.9962871233167713,4.0,0.9900844981321072,0.9994513433387884
Transformer,pooled,all,cell_pooled,accuracy,0.9722756248102803,4.0,0.9505046728971963,0.990694451319111
Transformer,pooled,all,cell_pooled,precision,0.9642777030058323,4.0,0.0,1.0
